PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"PRATHAPAR, SA; MEYER, WS; COOK, FJ",,,,"PRATHAPAR, SA; MEYER, WS; COOK, FJ",,,EFFECT OF CULTIVATION ON THE RELATIONSHIP BETWEEN ROOT LENGTH DENSITY AND UNSATURATED HYDRAULIC CONDUCTIVITY IN A MODERATELY SWELLING CLAY SOIL,AUSTRALIAN JOURNAL OF SOIL RESEARCH,,,English,Note,,,,,,,,,"DSIR,BUR SOIL,WELLINGTON,NEW ZEALAND","PRATHAPAR, SA (reprint author), CSIRO,DIV WATER RESOURCES,GRIFFITH LAB,GRIFFITH,NSW 2680,AUSTRALIA.",,"Cook, Freeman/A-1238-2008","Cook, Freeman/0000-0001-6044-2079",,,,16,11,11,0,0,C S I R O PUBLICATIONS,COLLINGWOOD,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD VICTORIA 3066, AUSTRALIA",Apr-73,,,AUST J SOIL RES,Aust. J. Soil Res.,,1989,27,4,,,,,645,650,,10.1071/SR9890645,,,6,Soil Science,Agriculture,CJ798,WOS:A1989CJ79800005,,,,,10/31/19
J,"ELKHERBAWY, M; ANGLE, JS; HEGGO, A; CHANEY, RL",,,,"ELKHERBAWY, M; ANGLE, JS; HEGGO, A; CHANEY, RL",,,"SOIL-PH, RHIZOBIA, AND VESICULAR-ARBUSCULAR MYCORRHIZAE INOCULATION EFFECTS ON GROWTH AND HEAVY-METAL UPTAKE OF ALFALFA (MEDICAGO-SATIVA L)",BIOLOGY AND FERTILITY OF SOILS,,,English,Article,,,,,,,,,"UNIV MARYLAND,DEPT AGRON,COLLEGE PK,MD 20742; USDA ARS,BELTSVILLE AGR RES CTR,SOIL MICROBIAL SYST LAB,BELTSVILLE,MD 20705",,,,,,,,27,67,78,0,9,SPRINGER VERLAG,NEW YORK,"175 FIFTH AVE, NEW YORK, NY 10010",0178-2762,,,BIOL FERT SOILS,Biol. Fertil. Soils,,1989,8,1,,,,,61,65,,,,,5,Soil Science,Agriculture,AH434,WOS:A1989AH43400009,,,,,10/31/19
J,"YOUNG, CC; CHAO, CC",,,,"YOUNG, CC; CHAO, CC",,,INTRINSIC ANTIBIOTIC-RESISTANCE AND COMPETITION IN FAST-GROWING AND SLOW-GROWING SOYBEAN RHIZOBIA ON A HYBRID OF ASIAN AND UNITED-STATES CULTIVARS,BIOLOGY AND FERTILITY OF SOILS,,,English,Article,,,,,,,,,,"YOUNG, CC (reprint author), NATL CHUNG HSING UNIV,DEPT SOIL SCI,TAICHUNG 40227,TAIWAN.",,,,,,,22,5,5,0,0,SPRINGER VERLAG,NEW YORK,"175 FIFTH AVE, NEW YORK, NY 10010",0178-2762,,,BIOL FERT SOILS,Biol. Fertil. Soils,,1989,8,1,,,,,66,70,,,,,5,Soil Science,Agriculture,AH434,WOS:A1989AH43400010,,,,,10/31/19
J,"ALLEN, MF; RICHARDS, JH; BUSSO, CA",,,,"ALLEN, MF; RICHARDS, JH; BUSSO, CA",,,INFLUENCE OF CLIPPING AND SOIL-WATER STATUS ON VESICULAR-ARBUSCULAR MYCORRHIZAE OF 2 SEMI-ARID TUSSOCK GRASSES,BIOLOGY AND FERTILITY OF SOILS,,,English,Article,,,,,,,,,"SAN DIEGO STATE UNIV,DEPT BIOL,SYST ECOL RES GRP,SAN DIEGO,CA 92182; UTAH STATE UNIV,DEPT RANGE SCI,LOGAN,UT 84322; UTAH STATE UNIV,CTR ECOL,LOGAN,UT 84322",,,,,,,,21,49,55,0,10,SPRINGER VERLAG,NEW YORK,"175 FIFTH AVE, NEW YORK, NY 10010",0178-2762,,,BIOL FERT SOILS,Biol. Fertil. Soils,,1989,8,4,,,,,285,289,,,,,5,Soil Science,Agriculture,CE172,WOS:A1989CE17200001,,,,,10/31/19
J,"NAMBIAR, PTC; ANJAIAH, V",,,,"NAMBIAR, PTC; ANJAIAH, V",,,COMPETITION AMONG STRAINS OF BRADYRHIZOBIUM AND VESICULAR-ARBUSCULAR MYCORRHIZAE FOR GROUNDNUT NARACHIS-HYPOGAEA L) ROOT INFECTION AND THEIR EFFECT ON PLANT-GROWTH AND YIELD,BIOLOGY AND FERTILITY OF SOILS,,,English,Article,,,,,,,,,,"NAMBIAR, PTC (reprint author), INT CROPS RES INST SEMI ARID TROP,PATANCHERU 502324,ANDHRA PRADESH,INDIA.",,,,,,,26,4,4,0,2,SPRINGER VERLAG,NEW YORK,"175 FIFTH AVE, NEW YORK, NY 10010",0178-2762,,,BIOL FERT SOILS,Biol. Fertil. Soils,,1989,8,4,,,,,311,318,,,,,8,Soil Science,Agriculture,CE172,WOS:A1989CE17200007,,,,,10/31/19
B,"SANTANTONIO, D",,"PEREIRA, JS; LANDSBERG, JJ",,"SANTANTONIO, D",,,DRY-MATTER PARTITIONING AND FINE-ROOT PRODUCTION IN FORESTS - NEW APPROACHES TO A DIFFICULT PROBLEM,BIOMASS PRODUCTION BY FAST-GROWING TREES,"NATO ADVANCED SCIENCE INSTITUTES SERIES, SERIES E, APPLIED SCIENCES",,English,Proceedings Paper,NATO ADVANCED RESEARCH WORKSHOP ON BIOMASS PRODUCTION BY FAST-GROWING TREES,"OCT 05-09, 1987","OBIDOS, PORTUGAL","NATO, DIV SCI AFFAIRS, JUNTA NACL INVESTIGAC CIENT & TECNOL PORTUGAL, LUSO AMER FDN LISBON, MINIST EDUC PORTUGAL, INST NACL INVESTIGAC CIENT, BRIT COUNCIL, LUSO AMER CULTURAL COMMISS, CALOUSTE GULBENKIAN FDN, CELULOSE BEIRA IND",,,,,,,,,,,,,0,49,51,0,4,KLUWER ACADEMIC PUBL,DORDRECHT,DORDRECHT,,,0-7923-0208-7,NATO ADV SCI I E-APP,,,1989,166,,,,,,57,72,,,,,16,Forestry,Forestry,BQ54W,WOS:A1989BQ54W00004,,,,,10/31/19
B,"VOLKOVA, TN; CHERNOVA, NI",,"VANCURA, V; KUNC, F",,"VOLKOVA, TN; CHERNOVA, NI",,,"EFFECTS OF RHIZOBIA, HOST PLANT AND ENVIRONMENTAL-FACTORS ON THE EFFICIENCY OF THE LEGUME-RHIZOBIUM SYMBIOSIS",INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,,,English,Proceedings Paper,INTERNATIONAL SYMP ON INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,"JUN 22-27, 1987","LIBLICE CASTLE, CZECHOSLOVAKIA","ACAD SCI INST MICROBIOL, CZECH SOC MICROBIOL",,,,,,,,"Chernova, Nadezhda/E-6714-2014",,,,,0,0,0,0,0,ACADEMIA-PUBL HOUSE CZECHOSLOVAK ACAD SCIENCES,PRAGUE,PRAGUE,,,,,,,1989,,,,,,,37,47,,,,,11,Microbiology; Soil Science,Microbiology; Agriculture,BP93T,WOS:A1989BP93T00005,,,,,10/31/19
B,"COOPER, JE",,"VANCURA, V; KUNC, F",,"COOPER, JE",,,NODULATION OF LEGUMES BY RHIZOBIA IN ACID SOILS,INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,,,English,Proceedings Paper,INTERNATIONAL SYMP ON INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,"JUN 22-27, 1987","LIBLICE CASTLE, CZECHOSLOVAKIA","ACAD SCI INST MICROBIOL, CZECH SOC MICROBIOL",,,,,,,,,,,,,0,0,0,0,0,ACADEMIA-PUBL HOUSE CZECHOSLOVAK ACAD SCIENCES,PRAGUE,PRAGUE,,,,,,,1989,,,,,,,57,61,,,,,5,Microbiology; Soil Science,Microbiology; Agriculture,BP93T,WOS:A1989BP93T00008,,,,,10/31/19
B,"HRSELOVA, H; VEJSADOVA, H; PRIKRYL, Z; VACHOVA, J; VANCURA, V; VIT, A",,"VANCURA, V; KUNC, F",,"HRSELOVA, H; VEJSADOVA, H; PRIKRYL, Z; VACHOVA, J; VANCURA, V; VIT, A",,,EFFECT OF INOCULATION WITH VESICULAR-ARBUSCULAR MYCORRHIZAL FUNGI ON GROWTH OF STRAWBERRIES,INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,,,English,Proceedings Paper,INTERNATIONAL SYMP ON INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,"JUN 22-27, 1987","LIBLICE CASTLE, CZECHOSLOVAKIA","ACAD SCI INST MICROBIOL, CZECH SOC MICROBIOL",,,,,,,,,,,,,0,3,3,0,2,ACADEMIA-PUBL HOUSE CZECHOSLOVAK ACAD SCIENCES,PRAGUE,PRAGUE,,,,,,,1989,,,,,,,109,114,,,,,6,Microbiology; Soil Science,Microbiology; Agriculture,BP93T,WOS:A1989BP93T00015,,,,,10/31/19
B,"VEJSADOVA, H; HRSELOVA, H; PRIKRYL, Z; VANCURA, V",,"VANCURA, V; KUNC, F",,"VEJSADOVA, H; HRSELOVA, H; PRIKRYL, Z; VANCURA, V",,,"INTERRELATIONSHIPS BETWEEN VESICULAR-ARBUSCULAR MYCORRHIZAL FUNGI, BRADYRHIZOBIUM-JAPONICUM AND SOYBEAN PLANTS",INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,,,English,Proceedings Paper,INTERNATIONAL SYMP ON INTERRELATIONSHIPS BETWEEN MICROORGANISMS AND PLANTS IN SOIL,"JUN 22-27, 1987","LIBLICE CASTLE, CZECHOSLOVAKIA","ACAD SCI INST MICROBIOL, CZECH SOC MICROBIOL",,,,,,,,,,,,,0,2,4,0,0,ACADEMIA-PUBL HOUSE CZECHOSLOVAK ACAD SCIENCES,PRAGUE,PRAGUE,,,,,,,1989,,,,,,,115,123,,,,,9,Microbiology; Soil Science,Microbiology; Agriculture,BP93T,WOS:A1989BP93T00016,,,,,10/31/19
